Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load
0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74
0.9,563.5,318.5,122.5,7.0,3,0.1,2,29.68
0.9,563.5,318.5,122.5,7.0,3,0.4,2,36.57
0.79,637.0,343.0,147.0,7.0,2,0.25,2,38.57
0.9,563.5,318.5,122.5,7.0,4,0.4,5,34.72
0.64,784.0,343.0,220.5,3.5,2,0.25,4,16.99
0.64,784.0,343.0,220.5,3.5,3,0.1,4,15.19
0.98,514.5,294.0,110.25,7.0,3,0.25,3,28.56
0.71,710.5,269.5,220.5,3.5,2,0.4,1,14.51
0.86,588.0,294.0,147.0,7.0,5,0.1,1,25.27
0.66,759.5,318.5,220.5,3.5,2,0.4,5,14.96
0.9,563.5,318.5,122.5,7.0,3,0.25,2,33.27
0.82,612.5,318.5,147.0,7.0,3,0.25,4,24.96
0.66,759.5,318.5,220.5,3.5,4,0.4,2,15.09
0.69,735.0,294.0,220.5,3.5,5,0.25,2,12.95
0.79,637.0,343.0,147.0,7.0,5,0.25,2,38.98
0.79,637.0,343.0,147.0,7.0,5,0.0,0,28.75
0.66,759.5,318.5,220.5,3.5,5,0.4,4,15.3
0.62,808.5,367.5,220.5,3.5,4,0.25,3,13.95
0.76,661.5,416.5,122.5,7.0,3,0.1,2,32.4
0.82,612.5,318.5,147.0,7.0,3,0.25,5,25.17
0.74,686.0,245.0,220.5,3.5,4,0.1,4,10.07
0.82,612.5,318.5,147.0,7.0,5,0.1,3,23.87
0.64,784.0,343.0,220.5,3.5,5,0.4,3,18.46
0.74,686.0,245.0,220.5,3.5,3,0.4,1,14.61
0.9,563.5,318.5,122.5,7.0,2,0.4,3,34.24
0.62,808.5,367.5,220.5,3.5,2,0.4,2,16.76
0.62,808.5,367.5,220.5,3.5,4,0.1,4,13.0
0.79,637.0,343.0,147.0,7.0,2,0.4,3,41.26
0.71,710.5,269.5,220.5,3.5,4,0.4,5,12.76
0.98,514.5,294.0,110.25,7.0,3,0.4,2,32.71
0.9,563.5,318.5,122.5,7.0,3,0.4,1,37.24
0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.33
0.69,735.0,294.0,220.5,3.5,3,0.4,5,14.28
0.86,588.0,294.0,147.0,7.0,4,0.1,4,26.33
0.79,637.0,343.0,147.0,7.0,3,0.4,4,41.73
0.64,784.0,343.0,220.5,3.5,2,0.4,5,17.69
0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69
0.79,637.0,343.0,147.0,7.0,5,0.25,3,39.83
0.71,710.5,269.5,220.5,3.5,4,0.4,1,14.5
0.76,661.5,416.5,122.5,7.0,5,0.25,1,36.43
0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.34
0.62,808.5,367.5,220.5,3.5,5,0.0,0,8.5
0.64,784.0,343.0,220.5,3.5,5,0.1,3,15.36
0.69,735.0,294.0,220.5,3.5,2,0.1,4,11.18
0.64,784.0,343.0,220.5,3.5,4,0.1,1,15.42
0.86,588.0,294.0,147.0,7.0,2,0.0,0,19.5
0.82,612.5,318.5,147.0,7.0,5,0.25,3,25.17
0.9,563.5,318.5,122.5,7.0,5,0.4,4,36.57
0.79,637.0,343.0,147.0,7.0,2,0.25,3,39.04
0.69,735.0,294.0,220.5,3.5,3,0.1,1,11.13
0.9,563.5,318.5,122.5,7.0,3,0.25,3,32.4
0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7
0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.08
0.82,612.5,318.5,147.0,7.0,4,0.4,2,28.64
0.82,612.5,318.5,147.0,7.0,3,0.4,3,29.67
0.9,563.5,318.5,122.5,7.0,5,0.4,1,35.96
0.86,588.0,294.0,147.0,7.0,5,0.25,1,28.66
0.74,686.0,245.0,220.5,3.5,5,0.25,4,12.43
0.66,759.5,318.5,220.5,3.5,5,0.4,1,15.23
0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8
0.82,612.5,318.5,147.0,7.0,2,0.1,1,23.53
0.82,612.5,318.5,147.0,7.0,5,0.1,2,22.79
0.82,612.5,318.5,147.0,7.0,5,0.4,2,28.01
0.79,637.0,343.0,147.0,7.0,2,0.0,0,28.52
0.76,661.5,416.5,122.5,7.0,4,0.4,5,39.31
0.82,612.5,318.5,147.0,7.0,3,0.25,2,25.98
0.66,759.5,318.5,220.5,3.5,3,0.4,5,14.92
0.9,563.5,318.5,122.5,7.0,2,0.25,4,32.67
0.66,759.5,318.5,220.5,3.5,2,0.25,5,12.93
0.86,588.0,294.0,147.0,7.0,2,0.1,1,26.28
0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.16
0.74,686.0,245.0,220.5,3.5,5,0.4,4,14.44
0.86,588.0,294.0,147.0,7.0,2,0.4,4,32.38
0.69,735.0,294.0,220.5,3.5,4,0.4,5,14.37
0.76,661.5,416.5,122.5,7.0,5,0.0,0,23.93
0.86,588.0,294.0,147.0,7.0,4,0.25,3,29.43
0.76,661.5,416.5,122.5,7.0,3,0.1,1,32.12
0.62,808.5,367.5,220.5,3.5,4,0.25,2,14.6
0.98,514.5,294.0,110.25,7.0,5,0.1,4,24.32
0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.68
0.86,588.0,294.0,147.0,7.0,4,0.25,4,29.08
0.69,735.0,294.0,220.5,3.5,2,0.4,1,14.51
0.82,612.5,318.5,147.0,7.0,3,0.4,1,29.91
0.74,686.0,245.0,220.5,3.5,5,0.4,5,14.39
0.76,661.5,416.5,122.5,7.0,3,0.4,1,39.97
0.76,661.5,416.5,122.5,7.0,3,0.4,4,40.4
0.76,661.5,416.5,122.5,7.0,4,0.25,2,36.86
0.62,808.5,367.5,220.5,3.5,2,0.25,3,13.91
0.69,735.0,294.0,220.5,3.5,2,0.25,1,12.78
0.86,588.0,294.0,147.0,7.0,2,0.25,3,28.4
0.98,514.5,294.0,110.25,7.0,4,0.1,1,24.63
0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.6
0.9,563.5,318.5,122.5,7.0,5,0.4,3,34.29
0.69,735.0,294.0,220.5,3.5,5,0.4,2,14.62
0.9,563.5,318.5,122.5,7.0,3,0.25,4,31.69
0.66,759.5,318.5,220.5,3.5,5,0.1,2,11.43
0.82,612.5,318.5,147.0,7.0,4,0.25,2,25.38
0.74,686.0,245.0,220.5,3.5,2,0.1,2,10.42
0.82,612.5,318.5,147.0,7.0,3,0.4,5,29.5
0.76,661.5,416.5,122.5,7.0,4,0.1,5,32.46
0.69,735.0,294.0,220.5,3.5,5,0.4,4,14.71
0.82,612.5,318.5,147.0,7.0,5,0.1,4,24.24
0.74,686.0,245.0,220.5,3.5,5,0.25,5,12.02
0.62,808.5,367.5,220.5,3.5,5,0.25,5,13.86
0.71,710.5,269.5,220.5,3.5,5,0.25,4,12.28
0.82,612.5,318.5,147.0,7.0,3,0.1,1,24.03
0.9,563.5,318.5,122.5,7.0,2,0.1,3,28.07
0.82,612.5,318.5,147.0,7.0,5,0.1,5,23.86
0.76,661.5,416.5,122.5,7.0,2,0.25,4,36.95
0.76,661.5,416.5,122.5,7.0,4,0.4,3,38.89
0.98,514.5,294.0,110.25,7.0,5,0.0,0,15.55
0.86,588.0,294.0,147.0,7.0,3,0.1,4,25.37
0.74,686.0,245.0,220.5,3.5,5,0.25,3,11.69
0.76,661.5,416.5,122.5,7.0,4,0.25,5,36.06
0.71,710.5,269.5,220.5,3.5,2,0.1,5,10.78
0.79,637.0,343.0,147.0,7.0,3,0.1,1,37.12
0.98,514.5,294.0,110.25,7.0,4,0.4,5,32.21
0.86,588.0,294.0,147.0,7.0,4,0.4,1,32.09
0.69,735.0,294.0,220.5,3.5,5,0.4,5,14.21
0.86,588.0,294.0,147.0,7.0,2,0.1,2,26.48
0.98,514.5,294.0,110.25,7.0,5,0.25,2,28.6
0.71,710.5,269.5,220.5,3.5,3,0.4,4,14.7
0.86,588.0,294.0,147.0,7.0,3,0.1,1,26.91
0.79,637.0,343.0,147.0,7.0,5,0.25,1,39.04
0.69,735.0,294.0,220.5,3.5,3,0.4,4,14.62
0.74,686.0,245.0,220.5,3.5,3,0.1,5,10.37
0.82,612.5,318.5,147.0,7.0,4,0.4,3,29.47
0.71,710.5,269.5,220.5,3.5,5,0.1,4,10.72
0.64,784.0,343.0,220.5,3.5,3,0.25,5,16.86
0.79,637.0,343.0,147.0,7.0,4,0.4,1,42.5
0.69,735.0,294.0,220.5,3.5,3,0.1,5,11.14
0.86,588.0,294.0,147.0,7.0,5,0.4,1,31.29
0.79,637.0,343.0,147.0,7.0,3,0.4,3,41.3
0.69,735.0,294.0,220.5,3.5,5,0.0,0,6.81
0.98,514.5,294.0,110.25,7.0,4,0.4,1,32.49
0.98,514.5,294.0,110.25,7.0,4,0.1,4,24.04
0.64,784.0,343.0,220.5,3.5,3,0.0,0,10.54
0.79,637.0,343.0,147.0,7.0,2,0.25,4,40.0
0.74,686.0,245.0,220.5,3.5,2,0.4,1,14.52
0.66,759.5,318.5,220.5,3.5,3,0.4,3,15.18
0.82,612.5,318.5,147.0,7.0,2,0.1,2,23.75
0.62,808.5,367.5,220.5,3.5,3,0.4,5,16.44
0.64,784.0,343.0,220.5,3.5,4,0.25,2,17.02
0.98,514.5,294.0,110.25,7.0,2,0.0,0,15.55
0.86,588.0,294.0,147.0,7.0,4,0.25,1,29.6
0.74,686.0,245.0,220.5,3.5,4,0.1,1,10.36
0.76,661.5,416.5,122.5,7.0,4,0.25,1,36.91
0.79,637.0,343.0,147.0,7.0,4,0.1,1,36.9
0.69,735.0,294.0,220.5,3.5,5,0.4,1,14.42
0.71,710.5,269.5,220.5,3.5,4,0.25,1,12.57
0.86,588.0,294.0,147.0,7.0,4,0.1,3,26.89
0.82,612.5,318.5,147.0,7.0,2,0.4,4,28.93
0.79,637.0,343.0,147.0,7.0,5,0.4,3,42.08
0.66,759.5,318.5,220.5,3.5,5,0.4,3,14.9
0.64,784.0,343.0,220.5,3.5,2,0.4,4,19.06
0.79,637.0,343.0,147.0,7.0,3,0.1,3,35.48
0.71,710.5,269.5,220.5,3.5,3,0.25,5,12.19
0.79,637.0,343.0,147.0,7.0,3,0.25,1,40.03
0.64,784.0,343.0,220.5,3.5,4,0.25,3,16.66
0.82,612.5,318.5,147.0,7.0,3,0.0,0,17.41
0.98,514.5,294.0,110.25,7.0,2,0.25,5,28.69
0.86,588.0,294.0,147.0,7.0,4,0.4,4,32.15
0.71,710.5,269.5,220.5,3.5,5,0.4,2,14.71
0.86,588.0,294.0,147.0,7.0,5,0.4,3,31.84
0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96
0.86,588.0,294.0,147.0,7.0,5,0.4,4,32.75
0.79,637.0,343.0,147.0,7.0,4,0.1,2,36.97
0.62,808.5,367.5,220.5,3.5,4,0.4,3,16.55
0.62,808.5,367.5,220.5,3.5,3,0.4,3,16.35
0.64,784.0,343.0,220.5,3.5,3,0.1,3,15.36
0.76,661.5,416.5,122.5,7.0,2,0.25,3,35.99
0.79,637.0,343.0,147.0,7.0,4,0.25,2,39.97
0.64,784.0,343.0,220.5,3.5,5,0.25,1,17.37
0.66,759.5,318.5,220.5,3.5,2,0.1,2,11.45
0.98,514.5,294.0,110.25,7.0,4,0.4,4,32.21
0.74,686.0,245.0,220.5,3.5,2,0.25,3,11.8
0.79,637.0,343.0,147.0,7.0,3,0.25,4,38.84
0.79,637.0,343.0,147.0,7.0,2,0.25,5,39.89
0.64,784.0,343.0,220.5,3.5,3,0.25,1,17.35
0.82,612.5,318.5,147.0,7.0,2,0.4,1,29.22
0.64,784.0,343.0,220.5,3.5,2,0.0,0,10.85
0.98,514.5,294.0,110.25,7.0,5,0.25,5,28.61
0.9,563.5,318.5,122.5,7.0,3,0.1,5,29.08
0.76,661.5,416.5,122.5,7.0,2,0.1,1,32.96
0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71
0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59
0.9,563.5,318.5,122.5,7.0,5,0.1,5,29.02
0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.63
0.64,784.0,343.0,220.5,3.5,5,0.1,2,15.19
0.66,759.5,318.5,220.5,3.5,4,0.25,5,12.78
0.9,563.5,318.5,122.5,7.0,3,0.4,3,34.95
0.76,661.5,416.5,122.5,7.0,4,0.1,2,33.12
0.82,612.5,318.5,147.0,7.0,3,0.1,4,22.8
0.74,686.0,245.0,220.5,3.5,4,0.25,5,11.64
0.86,588.0,294.0,147.0,7.0,5,0.4,2,31.64
0.69,735.0,294.0,220.5,3.5,4,0.0,0,6.77
0.79,637.0,343.0,147.0,7.0,3,0.1,5,36.71
0.74,686.0,245.0,220.5,3.5,2,0.1,4,10.08
0.76,661.5,416.5,122.5,7.0,4,0.4,2,40.57
0.64,784.0,343.0,220.5,3.5,3,0.4,5,18.19
0.79,637.0,343.0,147.0,7.0,2,0.1,3,35.78
0.64,784.0,343.0,220.5,3.5,4,0.4,4,19.0
0.66,759.5,318.5,220.5,3.5,2,0.25,2,13.05
0.82,612.5,318.5,147.0,7.0,4,0.0,0,16.95
0.66,759.5,318.5,220.5,3.5,2,0.4,2,15.34
0.76,661.5,416.5,122.5,7.0,5,0.1,2,32.41
0.69,735.0,294.0,220.5,3.5,4,0.1,1,11.09
0.66,759.5,318.5,220.5,3.5,3,0.25,2,12.93
0.66,759.5,318.5,220.5,3.5,5,0.25,2,13.0
0.79,637.0,343.0,147.0,7.0,3,0.25,2,40.19
0.86,588.0,294.0,147.0,7.0,5,0.1,2,25.36
0.79,637.0,343.0,147.0,7.0,3,0.0,0,29.9
0.69,735.0,294.0,220.5,3.5,5,0.25,1,12.72
0.71,710.5,269.5,220.5,3.5,2,0.1,3,10.77
0.79,637.0,343.0,147.0,7.0,4,0.25,3,39.81
0.71,710.5,269.5,220.5,3.5,4,0.25,2,12.2
0.9,563.5,318.5,122.5,7.0,5,0.1,2,27.9
0.66,759.5,318.5,220.5,3.5,4,0.25,3,12.74
0.82,612.5,318.5,147.0,7.0,3,0.25,1,27.27
0.82,612.5,318.5,147.0,7.0,2,0.25,3,24.7
0.74,686.0,245.0,220.5,3.5,3,0.4,4,14.48
0.98,514.5,294.0,110.25,7.0,2,0.25,4,28.7
0.62,808.5,367.5,220.5,3.5,3,0.0,0,8.49
0.98,514.5,294.0,110.25,7.0,4,0.1,5,24.03
0.82,612.5,318.5,147.0,7.0,3,0.4,4,28.05
0.98,514.5,294.0,110.25,7.0,3,0.1,5,24.33
0.76,661.5,416.5,122.5,7.0,5,0.4,2,40.42
0.74,686.0,245.0,220.5,3.5,4,0.4,3,14.1
0.86,588.0,294.0,147.0,7.0,5,0.0,0,18.31
0.76,661.5,416.5,122.5,7.0,4,0.1,4,33.09
0.64,784.0,343.0,220.5,3.5,2,0.1,1,15.41
0.69,735.0,294.0,220.5,3.5,5,0.25,4,12.86
0.76,661.5,416.5,122.5,7.0,4,0.4,1,40.71
0.98,514.5,294.0,110.25,7.0,5,0.1,3,24.35
0.98,514.5,294.0,110.25,7.0,3,0.25,5,28.58
0.71,710.5,269.5,220.5,3.5,2,0.25,3,12.41
0.86,588.0,294.0,147.0,7.0,2,0.1,5,27.03
0.79,637.0,343.0,147.0,7.0,4,0.4,3,42.49
0.66,759.5,318.5,220.5,3.5,5,0.25,5,13.02
0.86,588.0,294.0,147.0,7.0,4,0.4,5,31.12
0.86,588.0,294.0,147.0,7.0,4,0.4,3,32.05
0.82,612.5,318.5,147.0,7.0,4,0.25,4,25.43
0.86,588.0,294.0,147.0,7.0,5,0.4,5,32.06
0.62,808.5,367.5,220.5,3.5,2,0.25,5,13.68
0.71,710.5,269.5,220.5,3.5,3,0.1,3,10.68
0.64,784.0,343.0,220.5,3.5,2,0.4,3,18.48
0.74,686.0,245.0,220.5,3.5,3,0.1,2,10.46
0.64,784.0,343.0,220.5,3.5,4,0.4,1,19.48
0.86,588.0,294.0,147.0,7.0,5,0.25,5,29.39
0.98,514.5,294.0,110.25,7.0,3,0.1,1,24.63
0.71,710.5,269.5,220.5,3.5,5,0.0,0,6.4
0.74,686.0,245.0,220.5,3.5,3,0.4,2,14.45
0.71,710.5,269.5,220.5,3.5,4,0.25,5,12.25
0.62,808.5,367.5,220.5,3.5,4,0.4,4,16.94
0.69,735.0,294.0,220.5,3.5,4,0.1,5,11.11
0.9,563.5,318.5,122.5,7.0,3,0.4,5,35.01
0.71,710.5,269.5,220.5,3.5,2,0.4,4,14.6
0.76,661.5,416.5,122.5,7.0,2,0.1,2,33.16
0.9,563.5,318.5,122.5,7.0,2,0.25,3,31.63
0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02
0.66,759.5,318.5,220.5,3.5,4,0.25,2,12.77
0.98,514.5,294.0,110.25,7.0,3,0.25,1,28.15
0.79,637.0,343.0,147.0,7.0,3,0.4,2,43.1
0.62,808.5,367.5,220.5,3.5,3,0.25,3,14.34
0.69,735.0,294.0,220.5,3.5,2,0.25,2,12.85
0.82,612.5,318.5,147.0,7.0,4,0.1,1,23.54
0.82,612.5,318.5,147.0,7.0,5,0.25,4,26.0
0.98,514.5,294.0,110.25,7.0,2,0.4,1,32.26
0.9,563.5,318.5,122.5,7.0,5,0.25,5,32.46
0.82,612.5,318.5,147.0,7.0,5,0.25,5,25.49
0.98,514.5,294.0,110.25,7.0,5,0.4,5,32.73
0.74,686.0,245.0,220.5,3.5,4,0.4,1,14.5
0.62,808.5,367.5,220.5,3.5,5,0.4,2,17.15
0.71,710.5,269.5,220.5,3.5,3,0.0,0,6.4
0.9,563.5,318.5,122.5,7.0,4,0.1,1,29.14
0.98,514.5,294.0,110.25,7.0,5,0.4,1,32.53
0.74,686.0,245.0,220.5,3.5,3,0.25,2,12.45
0.98,514.5,294.0,110.25,7.0,4,0.1,3,24.11
0.86,588.0,294.0,147.0,7.0,5,0.25,4,29.88
0.62,808.5,367.5,220.5,3.5,4,0.25,5,14.16
0.82,612.5,318.5,147.0,7.0,3,0.4,2,29.49
0.74,686.0,245.0,220.5,3.5,4,0.4,2,14.18
0.76,661.5,416.5,122.5,7.0,3,0.1,3,33.28
0.69,735.0,294.0,220.5,3.5,2,0.1,1,11.11
0.71,710.5,269.5,220.5,3.5,5,0.25,3,12.19
0.79,637.0,343.0,147.0,7.0,5,0.1,5,35.48
0.86,588.0,294.0,147.0,7.0,3,0.0,0,19.95
0.64,784.0,343.0,220.5,3.5,4,0.25,5,16.76
0.64,784.0,343.0,220.5,3.5,3,0.25,4,16.69
0.71,710.5,269.5,220.5,3.5,2,0.4,2,14.7
0.69,735.0,294.0,220.5,3.5,5,0.1,3,11.14
0.98,514.5,294.0,110.25,7.0,4,0.25,5,28.15
0.74,686.0,245.0,220.5,3.5,4,0.25,1,12.41
0.9,563.5,318.5,122.5,7.0,3,0.25,1,33.48
0.71,710.5,269.5,220.5,3.5,2,0.25,2,12.33
0.9,563.5,318.5,122.5,7.0,3,0.0,0,21.46
0.9,563.5,318.5,122.5,7.0,3,0.1,4,28.05
0.71,710.5,269.5,220.5,3.5,3,0.4,2,14.66
0.74,686.0,245.0,220.5,3.5,5,0.4,2,14.5
0.69,735.0,294.0,220.5,3.5,2,0.25,4,12.91
0.76,661.5,416.5,122.5,7.0,3,0.1,5,33.21
0.71,710.5,269.5,220.5,3.5,5,0.25,5,12.27
0.9,563.5,318.5,122.5,7.0,4,0.25,5,31.53
0.74,686.0,245.0,220.5,3.5,2,0.4,2,14.54
0.66,759.5,318.5,220.5,3.5,4,0.0,0,7.1
0.69,735.0,294.0,220.5,3.5,5,0.4,3,14.08
0.86,588.0,294.0,147.0,7.0,3,0.25,2,29.87
0.76,661.5,416.5,122.5,7.0,3,0.25,1,36.13
0.79,637.0,343.0,147.0,7.0,4,0.1,3,36.97
0.79,637.0,343.0,147.0,7.0,5,0.1,1,35.94
0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.64
0.66,759.5,318.5,220.5,3.5,5,0.0,0,7.1
0.9,563.5,318.5,122.5,7.0,2,0.0,0,20.84
0.69,735.0,294.0,220.5,3.5,3,0.0,0,6.79
0.74,686.0,245.0,220.5,3.5,3,0.4,3,14.22
0.64,784.0,343.0,220.5,3.5,2,0.1,5,15.16
0.79,637.0,343.0,147.0,7.0,2,0.4,5,42.11
0.98,514.5,294.0,110.25,7.0,5,0.1,2,24.25
0.79,637.0,343.0,147.0,7.0,5,0.4,4,42.96
0.74,686.0,245.0,220.5,3.5,3,0.4,5,14.19
0.62,808.5,367.5,220.5,3.5,2,0.1,4,12.85
0.98,514.5,294.0,110.25,7.0,4,0.25,3,28.17
0.98,514.5,294.0,110.25,7.0,4,0.25,4,28.15
0.86,588.0,294.0,147.0,7.0,4,0.25,2,29.27
0.74,686.0,245.0,220.5,3.5,2,0.4,4,14.37
0.79,637.0,343.0,147.0,7.0,4,0.25,5,39.01
0.66,759.5,318.5,220.5,3.5,4,0.4,3,14.72
0.66,759.5,318.5,220.5,3.5,3,0.25,5,12.82
0.64,784.0,343.0,220.5,3.5,4,0.1,3,15.12
0.86,588.0,294.0,147.0,7.0,3,0.4,2,32.74
0.62,808.5,367.5,220.5,3.5,3,0.25,5,13.99
0.76,661.5,416.5,122.5,7.0,5,0.4,4,40.11
0.76,661.5,416.5,122.5,7.0,2,0.1,5,32.31
0.74,686.0,245.0,220.5,3.5,5,0.25,2,12.3
0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.12
0.86,588.0,294.0,147.0,7.0,3,0.1,3,26.47
0.98,514.5,294.0,110.25,7.0,3,0.4,1,32.26
0.79,637.0,343.0,147.0,7.0,2,0.25,1,38.67
0.86,588.0,294.0,147.0,7.0,2,0.1,4,26.44
0.82,612.5,318.5,147.0,7.0,2,0.4,5,30.0
0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7
0.74,686.0,245.0,220.5,3.5,2,0.25,1,12.43
0.76,661.5,416.5,122.5,7.0,4,0.4,4,40.6
0.98,514.5,294.0,110.25,7.0,2,0.4,5,32.84
0.64,784.0,343.0,220.5,3.5,4,0.0,0,10.77
0.66,759.5,318.5,220.5,3.5,3,0.1,2,11.42
0.64,784.0,343.0,220.5,3.5,5,0.25,3,16.86
0.66,759.5,318.5,220.5,3.5,5,0.4,5,15.16
0.98,514.5,294.0,110.25,7.0,3,0.4,3,32.69
0.86,588.0,294.0,147.0,7.0,4,0.1,5,25.36
0.82,612.5,318.5,147.0,7.0,5,0.4,1,28.65
0.66,759.5,318.5,220.5,3.5,4,0.4,4,15.09
0.9,563.5,318.5,122.5,7.0,5,0.25,4,33.28
0.98,514.5,294.0,110.25,7.0,2,0.1,4,24.38
0.71,710.5,269.5,220.5,3.5,2,0.1,4,10.66
0.98,514.5,294.0,110.25,7.0,3,0.25,4,28.55
0.86,588.0,294.0,147.0,7.0,3,0.4,5,31.81
0.98,514.5,294.0,110.25,7.0,2,0.4,2,32.82
0.64,784.0,343.0,220.5,3.5,4,0.25,4,16.56
0.64,784.0,343.0,220.5,3.5,5,0.25,5,16.92
0.82,612.5,318.5,147.0,7.0,3,0.1,3,23.84
0.76,661.5,416.5,122.5,7.0,5,0.4,1,40.43
0.69,735.0,294.0,220.5,3.5,2,0.1,5,11.21
0.79,637.0,343.0,147.0,7.0,4,0.4,5,41.09
0.66,759.5,318.5,220.5,3.5,3,0.25,3,13.01
0.79,637.0,343.0,147.0,7.0,4,0.25,1,39.86
0.98,514.5,294.0,110.25,7.0,4,0.4,2,32.24
0.9,563.5,318.5,122.5,7.0,4,0.1,2,28.83
0.9,563.5,318.5,122.5,7.0,2,0.1,1,29.03
0.82,612.5,318.5,147.0,7.0,2,0.1,3,22.93
0.69,735.0,294.0,220.5,3.5,5,0.25,3,12.12
0.76,661.5,416.5,122.5,7.0,3,0.25,5,36.64
0.98,514.5,294.0,110.25,7.0,3,0.1,2,24.31
0.69,735.0,294.0,220.5,3.5,2,0.4,4,14.54
0.69,735.0,294.0,220.5,3.5,2,0.1,2,11.45
0.69,735.0,294.0,220.5,3.5,3,0.1,3,11.16
0.86,588.0,294.0,147.0,7.0,5,0.25,2,28.4
0.82,612.5,318.5,147.0,7.0,4,0.1,2,23.67
0.62,808.5,367.5,220.5,3.5,4,0.4,1,17.14
0.64,784.0,343.0,220.5,3.5,5,0.25,2,17.11
0.62,808.5,367.5,220.5,3.5,5,0.1,3,12.73
0.71,710.5,269.5,220.5,3.5,4,0.25,3,12.1
0.9,563.5,318.5,122.5,7.0,5,0.25,2,31.66
